"year","variable","experiment","ensemble","model","units","value"
1981,"rh","historical","r5i1p1f1","IPSL-CM6A-LR","g yr-1",42591243547150376
1981,"rh","historical","r5i1p1f1","MPI-ESM1-2-LR","g yr-1",61983858064416776
1981,"rh","historical","r5i1p1f1","NorCPM1","g yr-1",29471315151162636
1981,"rh","historical","r5i1p1f2","CNRM-CM6-1","g yr-1",47811297453481224
1981,"rh","historical","r5i1p1f2","CNRM-ESM2-1","g yr-1",40876141954369168
1981,"rh","historical","r6i1p1f1","CESM2","g yr-1",39245457170179104
1981,"rh","historical","r6i1p1f1","IPSL-CM6A-LR","g yr-1",42374325436114176
1981,"rh","historical","r6i1p1f1","MPI-ESM1-2-LR","g yr-1",62620114910170064
1981,"rh","historical","r6i1p1f1","NorCPM1","g yr-1",29571532926076736
1981,"rh","historical","r6i1p1f2","CNRM-CM6-1","g yr-1",47144007312663152
1981,"rh","historical","r7i1p1f1","CESM2","g yr-1",38692506334906544
1981,"rh","historical","r7i1p1f1","IPSL-CM6A-LR","g yr-1",42100592644373432
1981,"rh","historical","r7i1p1f1","MPI-ESM1-2-LR","g yr-1",62879209724404416
1981,"rh","historical","r7i1p1f1","NorCPM1","g yr-1",29723570167005300
1981,"rh","historical","r7i1p1f2","CNRM-CM6-1","g yr-1",47580897789418320
1981,"rh","historical","r8i1p1f1","CESM2","g yr-1",39861824826781944
1981,"rh","historical","r8i1p1f1","IPSL-CM6A-LR","g yr-1",43265262527253928
1981,"rh","historical","r8i1p1f1","MPI-ESM1-2-LR","g yr-1",61724335826736112
1981,"rh","historical","r8i1p1f1","NorCPM1","g yr-1",28500129406787032
1981,"rh","historical","r8i1p1f2","CNRM-CM6-1","g yr-1",47912687367565768
1981,"rh","historical","r8i1p1f2","CNRM-ESM2-1","g yr-1",39873949576452440
1981,"rh","historical","r9i1p1f1","CESM2","g yr-1",39119929334484536
1981,"rh","historical","r9i1p1f1","IPSL-CM6A-LR","g yr-1",42328802470631944
1981,"rh","historical","r9i1p1f1","MPI-ESM1-2-LR","g yr-1",61266745833040752
1981,"rh","historical","r9i1p1f1","NorCPM1","g yr-1",29036226426447692
1981,"rh","historical","r9i1p1f2","CNRM-CM6-1","g yr-1",47375622557317024
1981,"rh","historical","r9i1p1f2","CNRM-ESM2-1","g yr-1",40442783081004168
1982,"rh","historical","r10i1p1f1","CESM2","g yr-1",38474217396221584
1982,"rh","historical","r10i1p1f1","IPSL-CM6A-LR","g yr-1",42828945485702440
1982,"rh","historical","r10i1p1f1","MPI-ESM1-2-LR","g yr-1",62406739034578992
1982,"rh","historical","r10i1p1f1","NorCPM1","g yr-1",29366109121571700
1982,"rh","historical","r10i1p1f2","CNRM-CM6-1","g yr-1",47559345553802176
1982,"rh","historical","r10i1p1f2","CNRM-ESM2-1","g yr-1",41804411118725448
1982,"rh","historical","r11i1p1f1","CESM2","g yr-1",38850304238699008
1982,"rh","historical","r11i1p1f1","IPSL-CM6A-LR","g yr-1",42684966723942256
1982,"rh","historical","r11i1p1f1","NorCPM1","g yr-1",29649930916805128
1982,"rh","historical","r11i1p1f2","CNRM-CM6-1","g yr-1",47703794372828472
1982,"rh","historical","r12i1p1f1","IPSL-CM6A-LR","g yr-1",43738372782755872
1982,"rh","historical","r12i1p1f1","NorCPM1","g yr-1",30180147403984196
1982,"rh","historical","r12i1p1f2","CNRM-CM6-1","g yr-1",47820931401688512
1982,"rh","historical","r13i1p1f1","IPSL-CM6A-LR","g yr-1",42979219137063152
1982,"rh","historical","r13i1p1f1","NorCPM1","g yr-1",29584152836255096
1982,"rh","historical","r13i1p1f2","CNRM-CM6-1","g yr-1",47539971016021816
1982,"rh","historical","r14i1p1f1","IPSL-CM6A-LR","g yr-1",42340394947397808
1982,"rh","historical","r14i1p1f1","NorCPM1","g yr-1",29339125970556816
1982,"rh","historical","r14i1p1f2","CNRM-CM6-1","g yr-1",47209761149636000
1982,"rh","historical","r15i1p1f1","IPSL-CM6A-LR","g yr-1",43046278199719312
1982,"rh","historical","r15i1p1f1","NorCPM1","g yr-1",28528207623973008
1982,"rh","historical","r15i1p1f2","CNRM-CM6-1","g yr-1",48602604051657432
1982,"rh","historical","r16i1p1f1","IPSL-CM6A-LR","g yr-1",43405598013716368
1982,"rh","historical","r16i1p1f1","NorCPM1","g yr-1",29528296987257236
1982,"rh","historical","r16i1p1f2","CNRM-CM6-1","g yr-1",47554062886606816
1982,"rh","historical","r17i1p1f1","IPSL-CM6A-LR","g yr-1",42914928722070776
1982,"rh","historical","r17i1p1f1","NorCPM1","g yr-1",28926207886382800
1982,"rh","historical","r17i1p1f2","CNRM-CM6-1","g yr-1",47671458797803728
1982,"rh","historical","r18i1p1f1","IPSL-CM6A-LR","g yr-1",43453206974052368
1982,"rh","historical","r18i1p1f1","NorCPM1","g yr-1",29276953043989792
1982,"rh","historical","r18i1p1f2","CNRM-CM6-1","g yr-1",46754588884554560
1982,"rh","historical","r19i1p1f1","IPSL-CM6A-LR","g yr-1",43565233449230920
1982,"rh","historical","r19i1p1f1","NorCPM1","g yr-1",29568688575533396
1982,"rh","historical","r19i1p1f2","CNRM-CM6-1","g yr-1",47388520125591544
1982,"rh","historical","r1i1p1f1","ACCESS-ESM1-5","g yr-1",56782931986047472
1982,"rh","historical","r1i1p1f1","CESM2","g yr-1",38402110322868720
1982,"rh","historical","r1i1p1f1","CESM2-WACCM","g yr-1",39373447689313288
1982,"rh","historical","r1i1p1f1","IPSL-CM6A-LR","g yr-1",42461664706925264
1982,"rh","historical","r1i1p1f1","MPI-ESM-1-2-HAM","g yr-1",63141592558237344
1982,"rh","historical","r1i1p1f1","MPI-ESM1-2-LR","g yr-1",61938998811744656
1982,"rh","historical","r1i1p1f1","NorCPM1","g yr-1",29485623130873868
1982,"rh","historical","r1i1p1f1","NorESM2-LM","g yr-1",37803658586839936
1982,"rh","historical","r1i1p1f1","NorESM2-MM","g yr-1",37062408055307696
1982,"rh","historical","r1i1p1f1","SAM0-UNICON","g yr-1",43743675797873688
1982,"rh","historical","r1i1p1f2","CNRM-CM6-1","g yr-1",47615308828509728
1982,"rh","historical","r1i1p1f2","CNRM-CM6-1-HR","g yr-1",46579373805084752
1982,"rh","historical","r1i2p1f1","MRI-ESM2-0","g yr-1",50621149696448184
1982,"rh","historical","r20i1p1f1","IPSL-CM6A-LR","g yr-1",42624493208383888
1982,"rh","historical","r20i1p1f1","NorCPM1","g yr-1",29054335726982084
1982,"rh","historical","r20i1p1f2","CNRM-CM6-1","g yr-1",47014301019893312
1982,"rh","historical","r21i1p1f1","IPSL-CM6A-LR","g yr-1",43024491408992992
1982,"rh","historical","r21i1p1f1","NorCPM1","g yr-1",29171159512276396
1982,"rh","historical","r21i1p1f2","CNRM-CM6-1","g yr-1",47324564866637120
1982,"rh","historical","r22i1p1f1","IPSL-CM6A-LR","g yr-1",42895242831609832
1982,"rh","historical","r22i1p1f1","NorCPM1","g yr-1",29249932311029980
1982,"rh","historical","r22i1p1f2","CNRM-CM6-1","g yr-1",47386343076832136
